id,sku,http_status,ok,payload_keys,price_fields_written,error
3791,4824-12,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3790,4806-20,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3789,4166-10D,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3787,4804-26,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3786,4803-1,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3784,4802-31,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3782,4790-0300,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3780,4120-8,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3779,4120-6N,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3778,4101-C1000,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3777,4100-2112,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3776,3530-25BA,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3775,3222-12,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3774,3203-12A,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3772,3260-25,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
