source_pages,extracted_candidate_row,raw_identity,normalized_identity,raw_price,price_unit,proposed_toman_price,confidence,rejected_reason,duplicate_status,manual_review_required,line
11,"GL * + , :8 ; 300 165,000,000","GL * + , :8 ; 300",,"165,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,22
11,"RN ﮐﻮﻟ ﺲ500 270,000,000",RN ﮐﻮﻟ ﺲ500,,"270,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,23
11,"GL 9 $ 6 $ < = > 150 50,000,000",GL 9 $ 6 $ < = > 150,,"50,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,24
11,"GL 9 $ 6 $ < = > 200 96,000,000",GL 9 $ 6 $ < = > 200,,"96,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,26
11,"GL 9 $ 6 $ < = > 300 160,000,000",GL 9 $ 6 $ < = > 300,,"160,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,27
11,"GL 9 $ 6 $ < = > 500 384,000,000",GL 9 $ 6 $ < = > 500,,"384,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,28
11,"GL 9 $ 6 $ < = > 1000*150 1,040,000,000",GL 9 $ 6 $ < = > 1000*150,,"1,040,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,29
11,"GL 9 $ 6 $ < = > 1000*200 1,120,000,000",GL 9 $ 6 $ < = > 1000*200,,"1,120,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,30
11,"GL 9 $ 6 $ < = > 2000*300 3,200,000,000",GL 9 $ 6 $ < = > 2000*300,,"3,200,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,31
11,"GL * + , $# < = > 300 448,000,000","GL * + , $# < = > 300",,"448,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,32
11,"GL * + , $# < = > 500 648,000,000","GL * + , $# < = > 500",,"648,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,33
11,"GL = $# < = > 500 464,000,000",GL = $# < = > 500,,"464,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,34
11,"GL = $# < = > 200 118,000,000",GL = $# < = > 200,,"118,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,35
11,"GL = $# < = > 300 371,000,000",GL = $# < = > 300,,"371,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,36
11,"GL * + , < = > 300 168,000,000","GL * + , < = > 300",,"168,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,37
11,"GL * + , < = > 1000*150 1,416,000,000","GL * + , < = > 1000*150",,"1,416,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,38
11,"GL * + , < = > 1000*200 1,680,000,000","GL * + , < = > 1000*200",,"1,680,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,39
11,"GL * + , < = > 500 608,000,000","GL * + , < = > 500",,"608,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,40
11,"GL * + , < = > 150 68,000,000","GL * + , < = > 150",,"68,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,41
11,"GL * + , < = > 200 103,000,000","GL * + , < = > 200",,"103,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,42
11,"GL * + , < = > 100 59,000,000","GL * + , < = > 100",,"59,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,43
11,"GL * + , < = > 600*300 1,216,000,000","GL * + , < = > 600*300",,"1,216,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,44
11,"GL * + , < = > 800*200 1,232,000,000","GL * + , < = > 800*200",,"1,232,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,45
11,"GL < = > 150 93,000,000",GL < = > 150,,"93,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,46
11,"GL < = > 200 120,000,000",GL < = > 200,,"120,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,47
11,"GL < = > 300 176,000,000",GL < = > 300,,"176,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,48
11,"* < = > 150 84,000,000",* < = > 150,,"84,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,49
11,"* < = > 200 112,000,000",* < = > 200,,"112,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,51
11,"* < = > 300 180,000,000",* < = > 300,,"180,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,52
11,"GL #8( : @ 10-18 104,000,000",GL #8( : @ 10-18,,"104,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,53
11,"GL #8( : @ 18-35 160,000,000",GL #8( : @ 18-35,,"160,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,54
11,"GL #8( : @ 35-50 160,000,000",GL #8( : @ 35-50,,"160,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,55
11,"GL #8( : @ 50-160 176,000,000",GL #8( : @ 50-160,,"176,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,56
11,"GL #8( : @ 160-250 240,000,000",GL #8( : @ 160-250,,"240,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,57
11,"GL #8( : @ 250-450 333,000,000",GL #8( : @ 250-450,,"333,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,58
11,"ﻣﺘﻪ ﺧ ﻨﻪ3 5,152,000",ﻣﺘﻪ ﺧ ﻨﻪ3,,"5,152,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,59
11,"RN AB 4 515,200",RN AB 4,,"515,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,60
11,"RN AB 4.5 515,200",RN AB 4.5,,"515,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,61
11,"TG AB 1 239,200",TG AB 1,,"239,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,62
11,"TG AB 1.5 294,400",TG AB 1.5,,"294,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,63
11,"TG AB 2 423,200",TG AB 2,,"423,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,64
