id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
1945,3203-175,3203-175A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 175-150 میلی متر خارج سنج مدل 175-3203,150-175mm,±4μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1943,3203-150,3203-150A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 150-125 میلی متر خارج سنج مدل 150-3203,125-150mm,±3μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1942,3203-125,3203-125A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 125-100 میلی متر خارج سنج مدل 125-3203,100-125mm,±3μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1941,3203-100,3203-100A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 100-75 میلی متر خارج سنج مدل 100-3203,75-100mm,±3μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1928,3109-300,3109-300A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 275-300 میلی متر خارج سنج مدل 300-3109,"275-300mm/11-12""",±5μm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1927,3109-275,3109-275A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 250-275 میلی متر خارج سنج مدل 275-3109,"250-275mm/10-11""",±5μm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1926,3109-250,3109-250A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 225-250 میلی متر خارج سنج مدل 250-3109,"225-250mm/9-10""",±4μm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1925,3109-225,3109-225A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 200-225 میلی متر خارج سنج مدل 225-3109,"200-225mm/8-9""",±4μm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1924,3109-200,3109-200A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 200-175 میلی متر خارج سنج مدل 200-3109,"175-200mm/7-8""",±4µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1923,3109-175,3109-175A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 175-150 میلی متر خارج سنج مدل 175-3109,"150-175mm/6-7""",±4µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1922,3109-150,3109-150A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 150-125 میلی متر خارج سنج مدل 150-3109,"125-150mm/5-6""",±3µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1921,3109-125,3109-125A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 125-100 میلی متر خارج سنج مدل 125-3109,"100-125mm/4-5""",±3µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1920,3109-100,3109-100A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 100-75 میلی متر خارج سنج مدل 100-3109,"75-100mm/3-4""",±3µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
1919,3108-100,3108-100A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 100-75 میلی متر خارج سنج مدل 100-3108,"75-100mm/3-4""",±3µm,"0.001mm/0.00005""",WATERPROOF DIGITAL OUTSIDE MICROMETERS (WITHOUT DATA OUTPUT),152
1909,2827-160,2827-160A,very_high,unique_letter_suffix,گیج داخل سیلندر اینسایز (Insize) 160-50 مدل 160-2827,50-160mm,±0.018mm,"0.002mm/0.0001""",ATTENTION: NOT SUITABLE BUILT-IN WIRELESS DIGITAL BORE GAUGES (WITH DIAL INDICATOR),253
1896,2322-450,2322-450A,very_high,unique_letter_suffix,بورگیج داخل سیلندر اینسایز (Insize) 450-250 میلی متری مدل 450-2322,250-450mm,±0.018mm,"0.002mm/0.0001"" ±0.018mm",BORE GAUGES (WITH DIAL INDICATOR) ATTENTION: NOT SUITABLE,248
1895,2322-250,2322-250A,very_high,unique_letter_suffix,بورگیج داخل سیلندر اینسایز (Insize) 250-160 میلی متری مدل 250-2322,160-250mm,±0.018mm,"0.002mm/0.0001"" ±0.018mm",BORE GAUGES (WITH DIAL INDICATOR) ATTENTION: NOT SUITABLE,248
1872,1530-500,1530-500,very_high,exact_code,کولیس داخل / خارج دیجیتال اینسایز (Insize) 50 سانت مدل 500-1530,"0-500mm/0-20""",±0.08mm,"0.01mm/0.0005""",DATA VARIOUS POINTS ARE DIGITAL CALIPERS WITH INTERCHANGEABLE POINTS,61
1871,1530-300,1530-300,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر داخل و خارج سنج مدل 300-1530,"0-300mm/0-12""",±0.06mm,"0.01mm/0.0005""",DATA VARIOUS POINTS ARE DIGITAL CALIPERS WITH INTERCHANGEABLE POINTS,61
