product_id,sku,brand,category,active_block,availability_block,price_block,image_block,other_block,block_count
2039,4902-300,INSIZE | اینسایز,تراز صنعتی,False,True,False,False,False,1
2040,4903-150,INSIZE | اینسایز,تراز صنعتی,True,True,False,True,False,3
2041,4903-200,INSIZE | اینسایز,تراز صنعتی,True,True,False,True,False,3
2042,4903-300,INSIZE | اینسایز,تراز صنعتی,True,True,False,True,False,3
2043,4910-400,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2044,4910-600,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2045,4911-600,INSIZE | اینسایز,تراز صنعتی,False,True,False,False,False,1
2048,4918-300,INSIZE | اینسایز,تراز صنعتی,False,True,False,False,False,1
2049,4918-600,INSIZE | اینسایز,تراز صنعتی,False,True,False,False,False,1
2064,6511-241,INSIZE | اینسایز,انواع گیج,False,True,False,False,False,1
2065,6520-102,INSIZE | اینسایز,انواع کولیس,True,True,False,True,False,3
2066,6801-1201,INSIZE | اینسایز,انواع میکرومتر,False,True,False,False,False,1
2067,6801-1202,INSIZE | اینسایز,انواع میکرومتر,False,True,False,False,False,1
2068,6862-1002,INSIZE | اینسایز,ساعت اندیکاتور,False,True,False,False,False,1
2069,6866-150,INSIZE | اینسایز,ساعت اندیکاتور,False,True,False,False,False,1
2071,6900-132,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2072,6900-142,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2073,6900-153,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2074,6900-164,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2075,6900-185,INSIZE | اینسایز,انواع کولیس,False,True,False,False,False,1
2076,6902-106,INSIZE | اینسایز,انواع کولیس,True,True,False,True,False,3
2077,7110-150,INSIZE | اینسایز,خط کش,False,True,False,False,False,1
2078,7110-200,INSIZE | اینسایز,خط کش,False,True,False,False,False,1
2079,7110-300,INSIZE | اینسایز,خط کش,False,True,False,False,False,1
2082,7111-300,INSIZE | اینسایز,خط کش,True,True,False,True,False,3
2083,7111-500,INSIZE | اینسایز,خط کش,True,True,False,True,False,3
2084,7114-950,INSIZE | اینسایز,متر,False,True,False,False,False,1
2085,7120-200,INSIZE | اینسایز,خط کش,True,True,False,True,False,3
2087,7202-200,INSIZE | اینسایز,خط کش,True,True,False,True,False,3
2088,7205-200,INSIZE | اینسایز,زاویه سنج,False,True,False,False,False,1
2098,7350-160,INSIZE | اینسایز,گیج داخل سیلندر,False,True,False,False,False,1
2100,8601-100,INSIZE | اینسایز,تراز صنعتی,False,True,False,False,False,1
2104,9351-130,INSIZE | اینسایز,متر,False,True,False,False,False,1
2105,9721-250,INSIZE | اینسایز,متر,False,True,False,False,False,1
2108,523-121,Mitutoyo | میتوتویو,انواع میکرومتر,False,True,True,False,False,2
2109,700-119,Mitutoyo | میتوتویو,شابلون,True,True,True,True,False,4
2110,350-251,Mitutoyo | میتوتویو,انواع میکرومتر,True,True,True,True,False,4
2112,104-136A,Mitutoyo | میتوتویو,انواع میکرومتر,True,False,False,True,False,2
2113,340-252,Mitutoyo | میتوتویو,انواع میکرومتر,True,False,False,True,False,2
2114,340-251,Mitutoyo | میتوتویو,انواع میکرومتر,True,False,False,True,False,2
2115,345-250,Mitutoyo | میتوتویو,انواع میکرومتر,True,True,True,True,False,4
2116,500-196,Mitutoyo | میتوتویو,انواع کولیس,True,False,False,True,False,2
2117,500-181,Mitutoyo | میتوتویو,انواع کولیس,True,True,True,True,False,4
2118,500-197,Mitutoyo | میتوتویو,انواع کولیس,True,False,False,True,False,2
2119,192-613,Mitutoyo | میتوتویو,ارتفاع سنج,True,True,True,True,False,4
2120,570-227,Mitutoyo | میتوتویو,ارتفاع سنج,True,True,True,True,False,4
2121,129-153,Mitutoyo | میتوتویو,عمق سنج,True,False,False,True,False,2
2122,329-250,Mitutoyo | میتوتویو,عمق سنج,True,True,True,True,False,4
2123,527-121,Mitutoyo | میتوتویو,عمق سنج,True,False,False,True,False,2
2125,2052A,Mitutoyo | میتوتویو,ساعت اندیکاتور,True,False,False,True,False,2
